批號,品項,製造日期,應標效期,實標效期
b-1000,湯包,1 Feb 2026,項目1,項目3
b-1001,即食雞胸,20260202,項目3,B
BATCH1002,堅果包,2026-03-03,項目2,B
BATCH1003,能量棒,4 May 2026,項目1,項目1
B1004,鮮奶茶,5 Jun 2026,C,A
BATCH1005,氣泡飲,20260606,項目1,C
b-1006,堅果包,20260707,項目2,
BATCH1007,氣泡飲,20260808,項目1,項目1
B1008,蛋捲,9 Apr 2026,項目3,B
b-1009,能量棒,10 May 2026,項目1,A
B1010,布丁,2026/11/11,項目3,C
b-1011,湯包,2026-12-12,項目2,B
b-1012,氣泡飲,2026-01-13,B,項目1
b-1013,冷凍水餃,,B,B
BATCH1014,泡芙,15 Apr 2026,C,項目1
B1015,即食雞胸,2026/4/16,C,C
BATCH1016,果醬,17 Jun 2026,A,C
B1017,鮮奶茶,18 Jan 2026,A,項目2
b-1018,果醬,19 Feb 2026,項目2,C
BATCH1019,泡芙,20 Mar 2026,B,C
B1020,鮮奶茶,2026/9/21,C,A
b-1021,沙拉醬,20261022,項目1,B
B1022,布丁,23 Jun 2026,項目1,B
b-1023,原味吐司,24 Jan 2026,B,A
,氣泡飲,25 Feb 2026,C,項目1
BATCH1025,巧克力餅乾,2026/2/26,B,項目1
BATCH1026,鮮奶茶,2026/3/27,B,A
BATCH1027,蛋捲,2026-04-28,項目1,C
,湯包,1 Jun 2026,A,A
BATCH1029,鮮奶茶,2 Jan 2026,項目1,項目2
BATCH1030,氣泡飲,3 Feb 2026,A,B
BATCH1031,堅果包,20260804,項目1,A
BATCH1032,泡芙,2026/9/5,B,A
B1033,原味吐司,2026-10-06,項目3,A
B1034,泡芙,2026-11-07,B,C
b-1035,杯裝優格,20261208,C,C
B1036,即食雞胸,9 Feb 2026,C,B
B1037,冷凍水餃,2026-02-10,項目2,項目3
B1038,巧克力餅乾,2026/3/11,B,B
B1039,即食雞胸,2026-04-12,B,項目3
B1040,果醬,13 Jun 2026,項目2,C
B1041,冷凍水餃,14 Jan 2026,項目2,A
b-1042,冷凍水餃,2026-07-15,項目3,項目1
B1043,布丁,20260816,項目1,A
B1044,能量棒,2026-09-17,A,項目1
b-1045,能量棒,20261018,項目2,項目2
b-1046,氣泡飲,2026/11/19,項目1,項目2
BATCH1047,布丁,2026/12/20,項目2,項目2
B1048,能量棒,21 Feb 2026,C,項目3
b-1049,冷凍水餃,2026-02-22,項目1,B
b-1050,能量棒,23 Apr 2026,B,項目1
b-1051,原味吐司,2026/4/24,A,A
b-1052,湯包,2026/5/25,項目3,項目3
b-1053,湯包,2026/6/26,A,C
b-1054,冷凍水餃,2026/7/27,C,C
b-1055,布丁,20260828,項目1,項目3
BATCH1056,蛋捲,1 Apr 2026,項目1,項目2
B1057,鮮奶茶,2026/10/2,項目2,B
B1058,鮮奶茶,20261103,項目1,項目1
BATCH1059,即食雞胸,2026-12-04,C,C
b-1060,果醬,20260105,項目2,A
B1061,鮮奶茶,2026-02-06,C,C
B1062,果醬,2026/3/7,項目2,項目1
b-1063,冷凍水餃,8 May 2026,A,C
b-1064,布丁,9 Jun 2026,B,項目3
B1065,即食雞胸,2026/6/10,項目3,項目1
b-1066,原味吐司,2026-07-11,A,項目1
BATCH1067,沙拉醬,2026-08-12,項目2,項目1
B1068,果醬,2026-09-13,項目1,A
B1069,巧克力餅乾,20261014,A,A
BATCH1070,能量棒,2026-11-15,B,C
B1071,泡芙,20261216,A,項目3
B1072,果醬,17 Feb 2026,B,C
BATCH1073,巧克力餅乾,20260218,A,C
BATCH1074,冷凍水餃,2026-03-19,項目2,B
B1075,即食雞胸,2026-04-20,項目2,C
B1076,堅果包,2026/5/21,C,A
b-1077,,2026/6/22,項目2,項目2
b-1078,鮮奶茶,23 Feb 2026,項目3,C
b-1079,蛋捲,24 Mar 2026,項目2,項目3
b-1080,果醬,2026-09-25,B,C
B1081,堅果包,20261026,C,項目1
B1082,鮮奶茶,2026/11/27,項目2,C
B1083,湯包,2026-12-28,項目2,A
b-1084,原味吐司,20260101,A,項目3
B1085,蛋捲,20260202,A,項目2
b-1086,氣泡飲,3 Apr 2026,B,A
B1087,堅果包,4 May 2026,C,B
b-1088,果醬,2026-05-05,項目3,項目3
b-1089,即食雞胸,20260606,C,項目1
BATCH1090,湯包,7 Feb 2026,B,項目3
B1091,即食雞胸,8 Mar 2026,A,C
B1092,杯裝優格,2026-09-09,項目1,項目2
b-1093,湯包,2026/10/10,項目1,B
BATCH1094,泡芙,2026-11-11,項目3,項目3
b-1095,沙拉醬,2026/12/12,B,項目2
b-1096,,2026-01-13,項目2,C
B1097,即食雞胸,2026/2/14,項目2,C
BATCH1098,果醬,2026-03-15,B,B
BATCH1099,原味吐司,16 May 2026,B,項目2
BATCH1047,布丁,2026/12/20,項目2,項目2
